state,sex,age_band,year,metric,value
New South Wales,Male,5-11 (Primary),2019,digital_contacts_per_1k,107.48
New South Wales,Male,5-11 (Primary),2020,digital_contacts_per_1k,118.63
New South Wales,Male,5-11 (Primary),2021,digital_contacts_per_1k,92.79
New South Wales,Male,5-11 (Primary),2022,digital_contacts_per_1k,138.27
New South Wales,Male,5-11 (Primary),2023,digital_contacts_per_1k,131.84
New South Wales,Male,5-11 (Primary),2024,digital_contacts_per_1k,153.69
New South Wales,Male,12-14,2019,digital_contacts_per_1k,106.95
New South Wales,Male,12-14,2020,digital_contacts_per_1k,115.72
New South Wales,Male,12-14,2021,digital_contacts_per_1k,133.39
New South Wales,Male,12-14,2022,digital_contacts_per_1k,137.04
New South Wales,Male,12-14,2023,digital_contacts_per_1k,127.18
New South Wales,Male,12-14,2024,digital_contacts_per_1k,133.42
New South Wales,Male,15-17,2019,digital_contacts_per_1k,124.69
New South Wales,Male,15-17,2020,digital_contacts_per_1k,102.33
New South Wales,Male,15-17,2021,digital_contacts_per_1k,115.03
New South Wales,Male,15-17,2022,digital_contacts_per_1k,110.63
New South Wales,Male,15-17,2023,digital_contacts_per_1k,128.18
New South Wales,Male,15-17,2024,digital_contacts_per_1k,149.88
New South Wales,Male,18-21,2019,digital_contacts_per_1k,96.53
New South Wales,Male,18-21,2020,digital_contacts_per_1k,114.5
New South Wales,Male,18-21,2021,digital_contacts_per_1k,131.48
New South Wales,Male,18-21,2022,digital_contacts_per_1k,127.85
New South Wales,Male,18-21,2023,digital_contacts_per_1k,156.49
New South Wales,Male,18-21,2024,digital_contacts_per_1k,150.92
New South Wales,Male,22-24,2019,digital_contacts_per_1k,106.95
New South Wales,Male,22-24,2020,digital_contacts_per_1k,134.06
New South Wales,Male,22-24,2021,digital_contacts_per_1k,133.83
New South Wales,Male,22-24,2022,digital_contacts_per_1k,136.31
New South Wales,Male,22-24,2023,digital_contacts_per_1k,127.07
New South Wales,Male,22-24,2024,digital_contacts_per_1k,185.19
New South Wales,Female,5-11 (Primary),2019,digital_contacts_per_1k,82.61
New South Wales,Female,5-11 (Primary),2020,digital_contacts_per_1k,98.25
New South Wales,Female,5-11 (Primary),2021,digital_contacts_per_1k,114.8
New South Wales,Female,5-11 (Primary),2022,digital_contacts_per_1k,139.62
New South Wales,Female,5-11 (Primary),2023,digital_contacts_per_1k,116.91
New South Wales,Female,5-11 (Primary),2024,digital_contacts_per_1k,114.19
New South Wales,Female,12-14,2019,digital_contacts_per_1k,108.27
New South Wales,Female,12-14,2020,digital_contacts_per_1k,127.48
New South Wales,Female,12-14,2021,digital_contacts_per_1k,113.77
New South Wales,Female,12-14,2022,digital_contacts_per_1k,148.7
New South Wales,Female,12-14,2023,digital_contacts_per_1k,122.6
New South Wales,Female,12-14,2024,digital_contacts_per_1k,161.31
New South Wales,Female,15-17,2019,digital_contacts_per_1k,84.06
New South Wales,Female,15-17,2020,digital_contacts_per_1k,121.12
New South Wales,Female,15-17,2021,digital_contacts_per_1k,139.64
New South Wales,Female,15-17,2022,digital_contacts_per_1k,117.64
New South Wales,Female,15-17,2023,digital_contacts_per_1k,156.06
New South Wales,Female,15-17,2024,digital_contacts_per_1k,150.77
New South Wales,Female,18-21,2019,digital_contacts_per_1k,102.09
New South Wales,Female,18-21,2020,digital_contacts_per_1k,96.43
