state,sex,age_band,year,sheet,metric,value
New South Wales,Male,5-11 (Primary),2019,Anxiety,12-month prevalence %,7.32
New South Wales,Male,5-11 (Primary),2019,Anxiety,lifetime prevalence %,11.07
New South Wales,Male,5-11 (Primary),2019,Depression,12-month prevalence %,4.27
New South Wales,Male,5-11 (Primary),2019,Depression,lifetime prevalence %,7.1
New South Wales,Male,5-11 (Primary),2019,ADHD,12-month prevalence %,3.58
New South Wales,Male,5-11 (Primary),2019,ADHD,lifetime prevalence %,7.45
New South Wales,Male,5-11 (Primary),2019,Substance use,12-month prevalence %,2.5
New South Wales,Male,5-11 (Primary),2019,Substance use,lifetime prevalence %,3.73
New South Wales,Male,5-11 (Primary),2020,Anxiety,12-month prevalence %,6.53
New South Wales,Male,5-11 (Primary),2020,Anxiety,lifetime prevalence %,11.62
New South Wales,Male,5-11 (Primary),2020,Depression,12-month prevalence %,5.42
New South Wales,Male,5-11 (Primary),2020,Depression,lifetime prevalence %,10.38
New South Wales,Male,5-11 (Primary),2020,ADHD,12-month prevalence %,3.79
New South Wales,Male,5-11 (Primary),2020,ADHD,lifetime prevalence %,7.22
New South Wales,Male,5-11 (Primary),2020,Substance use,12-month prevalence %,2.81
New South Wales,Male,5-11 (Primary),2020,Substance use,lifetime prevalence %,4.88
New South Wales,Male,5-11 (Primary),2021,Anxiety,12-month prevalence %,6.83
New South Wales,Male,5-11 (Primary),2021,Anxiety,lifetime prevalence %,11.58
New South Wales,Male,5-11 (Primary),2021,Depression,12-month prevalence %,4.6
New South Wales,Male,5-11 (Primary),2021,Depression,lifetime prevalence %,6.93
New South Wales,Male,5-11 (Primary),2021,ADHD,12-month prevalence %,3.33
New South Wales,Male,5-11 (Primary),2021,ADHD,lifetime prevalence %,5.13
New South Wales,Male,5-11 (Primary),2021,Substance use,12-month prevalence %,2.27
New South Wales,Male,5-11 (Primary),2021,Substance use,lifetime prevalence %,4.07
New South Wales,Male,5-11 (Primary),2022,Anxiety,12-month prevalence %,6.69
New South Wales,Male,5-11 (Primary),2022,Anxiety,lifetime prevalence %,12.01
New South Wales,Male,5-11 (Primary),2022,Depression,12-month prevalence %,5.27
New South Wales,Male,5-11 (Primary),2022,Depression,lifetime prevalence %,9.18
New South Wales,Male,5-11 (Primary),2022,ADHD,12-month prevalence %,3.92
New South Wales,Male,5-11 (Primary),2022,ADHD,lifetime prevalence %,7.0
New South Wales,Male,5-11 (Primary),2022,Substance use,12-month prevalence %,2.57
New South Wales,Male,5-11 (Primary),2022,Substance use,lifetime prevalence %,5.41
New South Wales,Male,5-11 (Primary),2023,Anxiety,12-month prevalence %,5.74
New South Wales,Male,5-11 (Primary),2023,Anxiety,lifetime prevalence %,10.84
New South Wales,Male,5-11 (Primary),2023,Depression,12-month prevalence %,4.28
New South Wales,Male,5-11 (Primary),2023,Depression,lifetime prevalence %,5.83
New South Wales,Male,5-11 (Primary),2023,ADHD,12-month prevalence %,4.32
New South Wales,Male,5-11 (Primary),2023,ADHD,lifetime prevalence %,6.54
New South Wales,Male,5-11 (Primary),2023,Substance use,12-month prevalence %,2.69
New South Wales,Male,5-11 (Primary),2023,Substance use,lifetime prevalence %,4.14
New South Wales,Male,5-11 (Primary),2024,Anxiety,12-month prevalence %,5.97
New South Wales,Male,5-11 (Primary),2024,Anxiety,lifetime prevalence %,11.26
New South Wales,Male,5-11 (Primary),2024,Depression,12-month prevalence %,5.25
New South Wales,Male,5-11 (Primary),2024,Depression,lifetime prevalence %,7.6
New South Wales,Male,5-11 (Primary),2024,ADHD,12-month prevalence %,4.52
New South Wales,Male,5-11 (Primary),2024,ADHD,lifetime prevalence %,6.81
New South Wales,Male,5-11 (Primary),2024,Substance use,12-month prevalence %,2.54
New South Wales,Male,5-11 (Primary),2024,Substance use,lifetime prevalence %,5.64
New South Wales,Male,12-14,2019,Anxiety,12-month prevalence %,10.61
New South Wales,Male,12-14,2019,Anxiety,lifetime prevalence %,18.0
New South Wales,Male,12-14,2019,Depression,12-month prevalence %,8.36
New South Wales,Male,12-14,2019,Depression,lifetime prevalence %,14.77
New South Wales,Male,12-14,2019,ADHD,12-month prevalence %,5.32
New South Wales,Male,12-14,2019,ADHD,lifetime prevalence %,10.44
New South Wales,Male,12-14,2019,Substance use,12-month prevalence %,3.69
New South Wales,Male,12-14,2019,Substance use,lifetime prevalence %,5.74
New South Wales,Male,12-14,2020,Anxiety,12-month prevalence %,9.23
New South Wales,Male,12-14,2020,Anxiety,lifetime prevalence %,14.77
New South Wales,Male,12-14,2020,Depression,12-month prevalence %,7.39
New South Wales,Male,12-14,2020,Depression,lifetime prevalence %,12.76
New South Wales,Male,12-14,2020,ADHD,12-month prevalence %,5.13
New South Wales,Male,12-14,2020,ADHD,lifetime prevalence %,8.47
New South Wales,Male,12-14,2020,Substance use,12-month prevalence %,3.3
New South Wales,Male,12-14,2020,Substance use,lifetime prevalence %,6.8
New South Wales,Male,12-14,2021,Anxiety,12-month prevalence %,8.41
New South Wales,Male,12-14,2021,Anxiety,lifetime prevalence %,14.62
New South Wales,Male,12-14,2021,Depression,12-month prevalence %,7.56
New South Wales,Male,12-14,2021,Depression,lifetime prevalence %,13.16
New South Wales,Male,12-14,2021,ADHD,12-month prevalence %,5.58
New South Wales,Male,12-14,2021,ADHD,lifetime prevalence %,8.72
New South Wales,Male,12-14,2021,Substance use,12-month prevalence %,2.96
New South Wales,Male,12-14,2021,Substance use,lifetime prevalence %,4.15
New South Wales,Male,12-14,2022,Anxiety,12-month prevalence %,10.52
New South Wales,Male,12-14,2022,Anxiety,lifetime prevalence %,17.22
New South Wales,Male,12-14,2022,Depression,12-month prevalence %,7.29
New South Wales,Male,12-14,2022,Depression,lifetime prevalence %,11.79
New South Wales,Male,12-14,2022,ADHD,12-month prevalence %,4.93
New South Wales,Male,12-14,2022,ADHD,lifetime prevalence %,8.15
New South Wales,Male,12-14,2022,Substance use,12-month prevalence %,4.24
New South Wales,Male,12-14,2022,Substance use,lifetime prevalence %,6.91
New South Wales,Male,12-14,2023,Anxiety,12-month prevalence %,8.88
New South Wales,Male,12-14,2023,Anxiety,lifetime prevalence %,15.31
New South Wales,Male,12-14,2023,Depression,12-month prevalence %,6.83
New South Wales,Male,12-14,2023,Depression,lifetime prevalence %,10.82
New South Wales,Male,12-14,2023,ADHD,12-month prevalence %,5.6
New South Wales,Male,12-14,2023,ADHD,lifetime prevalence %,10.72
New South Wales,Male,12-14,2023,Substance use,12-month prevalence %,3.14
New South Wales,Male,12-14,2023,Substance use,lifetime prevalence %,4.23
New South Wales,Male,12-14,2024,Anxiety,12-month prevalence %,10.31
New South Wales,Male,12-14,2024,Anxiety,lifetime prevalence %,16.59
New South Wales,Male,12-14,2024,Depression,12-month prevalence %,6.24
New South Wales,Male,12-14,2024,Depression,lifetime prevalence %,9.84
New South Wales,Male,12-14,2024,ADHD,12-month prevalence %,6.66
New South Wales,Male,12-14,2024,ADHD,lifetime prevalence %,12.64
New South Wales,Male,12-14,2024,Substance use,12-month prevalence %,4.16
New South Wales,Male,12-14,2024,Substance use,lifetime prevalence %,6.51
New South Wales,Male,15-17,2019,Anxiety,12-month prevalence %,14.44
New South Wales,Male,15-17,2019,Anxiety,lifetime prevalence %,23.24
New South Wales,Male,15-17,2019,Depression,12-month prevalence %,9.54
New South Wales,Male,15-17,2019,Depression,lifetime prevalence %,16.37
New South Wales,Male,15-17,2019,ADHD,12-month prevalence %,7.66
New South Wales,Male,15-17,2019,ADHD,lifetime prevalence %,14.46
New South Wales,Male,15-17,2019,Substance use,12-month prevalence %,5.24
New South Wales,Male,15-17,2019,Substance use,lifetime prevalence %,8.84
New South Wales,Male,15-17,2020,Anxiety,12-month prevalence %,13.66
New South Wales,Male,15-17,2020,Anxiety,lifetime prevalence %,24.01
New South Wales,Male,15-17,2020,Depression,12-month prevalence %,8.26
New South Wales,Male,15-17,2020,Depression,lifetime prevalence %,13.51
New South Wales,Male,15-17,2020,ADHD,12-month prevalence %,7.32
New South Wales,Male,15-17,2020,ADHD,lifetime prevalence %,13.77
New South Wales,Male,15-17,2020,Substance use,12-month prevalence %,5.41
New South Wales,Male,15-17,2020,Substance use,lifetime prevalence %,8.6
New South Wales,Male,15-17,2021,Anxiety,12-month prevalence %,14.81
New South Wales,Male,15-17,2021,Anxiety,lifetime prevalence %,23.89
New South Wales,Male,15-17,2021,Depression,12-month prevalence %,9.03
New South Wales,Male,15-17,2021,Depression,lifetime prevalence %,14.45
New South Wales,Male,15-17,2021,ADHD,12-month prevalence %,7.86
New South Wales,Male,15-17,2021,ADHD,lifetime prevalence %,14.58
New South Wales,Male,15-17,2021,Substance use,12-month prevalence %,5.3
New South Wales,Male,15-17,2021,Substance use,lifetime prevalence %,7.62
New South Wales,Male,15-17,2022,Anxiety,12-month prevalence %,11.46
New South Wales,Male,15-17,2022,Anxiety,lifetime prevalence %,20.31
New South Wales,Male,15-17,2022,Depression,12-month prevalence %,8.84
New South Wales,Male,15-17,2022,Depression,lifetime prevalence %,15.98
New South Wales,Male,15-17,2022,ADHD,12-month prevalence %,8.14
New South Wales,Male,15-17,2022,ADHD,lifetime prevalence %,14.43
New South Wales,Male,15-17,2022,Substance use,12-month prevalence %,5.17
New South Wales,Male,15-17,2022,Substance use,lifetime prevalence %,9.02
New South Wales,Male,15-17,2023,Anxiety,12-month prevalence %,11.17
New South Wales,Male,15-17,2023,Anxiety,lifetime prevalence %,19.92
New South Wales,Male,15-17,2023,Depression,12-month prevalence %,9.82
New South Wales,Male,15-17,2023,Depression,lifetime prevalence %,17.36
New South Wales,Male,15-17,2023,ADHD,12-month prevalence %,6.47
New South Wales,Male,15-17,2023,ADHD,lifetime prevalence %,10.04
New South Wales,Male,15-17,2023,Substance use,12-month prevalence %,4.91
New South Wales,Male,15-17,2023,Substance use,lifetime prevalence %,9.25
New South Wales,Male,15-17,2024,Anxiety,12-month prevalence %,11.97
New South Wales,Male,15-17,2024,Anxiety,lifetime prevalence %,21.1
New South Wales,Male,15-17,2024,Depression,12-month prevalence %,7.88
New South Wales,Male,15-17,2024,Depression,lifetime prevalence %,12.03
New South Wales,Male,15-17,2024,ADHD,12-month prevalence %,8.33
New South Wales,Male,15-17,2024,ADHD,lifetime prevalence %,15.62
New South Wales,Male,15-17,2024,Substance use,12-month prevalence %,4.48
New South Wales,Male,15-17,2024,Substance use,lifetime prevalence %,7.12
New South Wales,Male,18-21,2019,Anxiety,12-month prevalence %,12.86
New South Wales,Male,18-21,2019,Anxiety,lifetime prevalence %,22.1
New South Wales,Male,18-21,2019,Depression,12-month prevalence %,10.0
New South Wales,Male,18-21,2019,Depression,lifetime prevalence %,16.59
New South Wales,Male,18-21,2019,ADHD,12-month prevalence %,9.26
New South Wales,Male,18-21,2019,ADHD,lifetime prevalence %,14.25
New South Wales,Male,18-21,2019,Substance use,12-month prevalence %,5.89
New South Wales,Male,18-21,2019,Substance use,lifetime prevalence %,10.74
New South Wales,Male,18-21,2020,Anxiety,12-month prevalence %,15.89
New South Wales,Male,18-21,2020,Anxiety,lifetime prevalence %,28.04
New South Wales,Male,18-21,2020,Depression,12-month prevalence %,11.5
New South Wales,Male,18-21,2020,Depression,lifetime prevalence %,18.93
New South Wales,Male,18-21,2020,ADHD,12-month prevalence %,9.3
New South Wales,Male,18-21,2020,ADHD,lifetime prevalence %,16.1
New South Wales,Male,18-21,2020,Substance use,12-month prevalence %,4.92
New South Wales,Male,18-21,2020,Substance use,lifetime prevalence %,9.29
New South Wales,Male,18-21,2021,Anxiety,12-month prevalence %,13.6
New South Wales,Male,18-21,2021,Anxiety,lifetime prevalence %,24.57
New South Wales,Male,18-21,2021,Depression,12-month prevalence %,11.23
New South Wales,Male,18-21,2021,Depression,lifetime prevalence %,20.23
New South Wales,Male,18-21,2021,ADHD,12-month prevalence %,9.67
New South Wales,Male,18-21,2021,ADHD,lifetime prevalence %,16.69
New South Wales,Male,18-21,2021,Substance use,12-month prevalence %,5.94
New South Wales,Male,18-21,2021,Substance use,lifetime prevalence %,10.39
New South Wales,Male,18-21,2022,Anxiety,12-month prevalence %,13.71
New South Wales,Male,18-21,2022,Anxiety,lifetime prevalence %,24.79
New South Wales,Male,18-21,2022,Depression,12-month prevalence %,11.13
New South Wales,Male,18-21,2022,Depression,lifetime prevalence %,19.49
New South Wales,Male,18-21,2022,ADHD,12-month prevalence %,9.94
New South Wales,Male,18-21,2022,ADHD,lifetime prevalence %,17.29
New South Wales,Male,18-21,2022,Substance use,12-month prevalence %,4.27
New South Wales,Male,18-21,2022,Substance use,lifetime prevalence %,7.79
New South Wales,Male,18-21,2023,Anxiety,12-month prevalence %,14.28
New South Wales,Male,18-21,2023,Anxiety,lifetime prevalence %,24.96
New South Wales,Male,18-21,2023,Depression,12-month prevalence %,12.18
New South Wales,Male,18-21,2023,Depression,lifetime prevalence %,21.42
New South Wales,Male,18-21,2023,ADHD,12-month prevalence %,9.95
New South Wales,Male,18-21,2023,ADHD,lifetime prevalence %,17.78
New South Wales,Male,18-21,2023,Substance use,12-month prevalence %,6.1
New South Wales,Male,18-21,2023,Substance use,lifetime prevalence %,10.18
New South Wales,Male,18-21,2024,Anxiety,12-month prevalence %,12.4
New South Wales,Male,18-21,2024,Anxiety,lifetime prevalence %,21.23
New South Wales,Male,18-21,2024,Depression,12-month prevalence %,11.85
New South Wales,Male,18-21,2024,Depression,lifetime prevalence %,21.22
New South Wales,Male,18-21,2024,ADHD,12-month prevalence %,8.97
New South Wales,Male,18-21,2024,ADHD,lifetime prevalence %,14.96
New South Wales,Male,18-21,2024,Substance use,12-month prevalence %,4.78
New South Wales,Male,18-21,2024,Substance use,lifetime prevalence %,6.7
New South Wales,Male,22-24,2019,Anxiety,12-month prevalence %,11.21
New South Wales,Male,22-24,2019,Anxiety,lifetime prevalence %,19.07
New South Wales,Male,22-24,2019,Depression,12-month prevalence %,10.33
New South Wales,Male,22-24,2019,Depression,lifetime prevalence %,17.76
New South Wales,Male,22-24,2019,ADHD,12-month prevalence %,7.35
New South Wales,Male,22-24,2019,ADHD,lifetime prevalence %,12.39
New South Wales,Male,22-24,2019,Substance use,12-month prevalence %,3.63
New South Wales,Male,22-24,2019,Substance use,lifetime prevalence %,5.53
New South Wales,Male,22-24,2020,Anxiety,12-month prevalence %,12.2
New South Wales,Male,22-24,2020,Anxiety,lifetime prevalence %,21.36
New South Wales,Male,22-24,2020,Depression,12-month prevalence %,10.23
New South Wales,Male,22-24,2020,Depression,lifetime prevalence %,17.34
New South Wales,Male,22-24,2020,ADHD,12-month prevalence %,7.63
New South Wales,Male,22-24,2020,ADHD,lifetime prevalence %,13.86
New South Wales,Male,22-24,2020,Substance use,12-month prevalence %,4.81
New South Wales,Male,22-24,2020,Substance use,lifetime prevalence %,7.05
New South Wales,Male,22-24,2021,Anxiety,12-month prevalence %,13.17
New South Wales,Male,22-24,2021,Anxiety,lifetime prevalence %,23.15
New South Wales,Male,22-24,2021,Depression,12-month prevalence %,9.34
New South Wales,Male,22-24,2021,Depression,lifetime prevalence %,14.81
New South Wales,Male,22-24,2021,ADHD,12-month prevalence %,8.29
New South Wales,Male,22-24,2021,ADHD,lifetime prevalence %,14.63
New South Wales,Male,22-24,2021,Substance use,12-month prevalence %,3.91
New South Wales,Male,22-24,2021,Substance use,lifetime prevalence %,6.9
New South Wales,Male,22-24,2022,Anxiety,12-month prevalence %,10.09
New South Wales,Male,22-24,2022,Anxiety,lifetime prevalence %,15.82
New South Wales,Male,22-24,2022,Depression,12-month prevalence %,9.47
New South Wales,Male,22-24,2022,Depression,lifetime prevalence %,16.81
New South Wales,Male,22-24,2022,ADHD,12-month prevalence %,7.19
New South Wales,Male,22-24,2022,ADHD,lifetime prevalence %,11.17
New South Wales,Male,22-24,2022,Substance use,12-month prevalence %,4.13
New South Wales,Male,22-24,2022,Substance use,lifetime prevalence %,5.84
New South Wales,Male,22-24,2023,Anxiety,12-month prevalence %,10.41
New South Wales,Male,22-24,2023,Anxiety,lifetime prevalence %,16.39
New South Wales,Male,22-24,2023,Depression,12-month prevalence %,9.32
New South Wales,Male,22-24,2023,Depression,lifetime prevalence %,16.68
New South Wales,Male,22-24,2023,ADHD,12-month prevalence %,7.19
New South Wales,Male,22-24,2023,ADHD,lifetime prevalence %,12.7
New South Wales,Male,22-24,2023,Substance use,12-month prevalence %,3.85
