state,sex,age_band,year,metric,value,source,sheet
New South Wales,Male,5-11 (Primary),2019,avg_wait_days,14.95,waiting_time_state_raw,
New South Wales,Male,5-11 (Primary),2019,ed_on_time_pct,76.1,waiting_time_state_raw,
New South Wales,Male,5-11 (Primary),2020,avg_wait_days,17.56,waiting_time_state_raw,
New South Wales,Male,5-11 (Primary),2020,ed_on_time_pct,75.0,waiting_time_state_raw,
New South Wales,Male,5-11 (Primary),2021,avg_wait_days,21.44,waiting_time_state_raw,
New South Wales,Male,5-11 (Primary),2021,ed_on_time_pct,73.1,waiting_time_state_raw,
New South Wales,Male,5-11 (Primary),2022,avg_wait_days,18.01,waiting_time_state_raw,
New South Wales,Male,5-11 (Primary),2022,ed_on_time_pct,69.1,waiting_time_state_raw,
New South Wales,Male,5-11 (Primary),2023,avg_wait_days,16.33,waiting_time_state_raw,
New South Wales,Male,5-11 (Primary),2023,ed_on_time_pct,71.6,waiting_time_state_raw,
New South Wales,Male,5-11 (Primary),2024,avg_wait_days,19.29,waiting_time_state_raw,
New South Wales,Male,5-11 (Primary),2024,ed_on_time_pct,73.2,waiting_time_state_raw,
New South Wales,Male,12-14,2019,avg_wait_days,20.95,waiting_time_state_raw,
New South Wales,Male,12-14,2019,ed_on_time_pct,70.8,waiting_time_state_raw,
New South Wales,Male,12-14,2020,avg_wait_days,20.14,waiting_time_state_raw,
New South Wales,Male,12-14,2020,ed_on_time_pct,76.4,waiting_time_state_raw,
New South Wales,Male,12-14,2021,avg_wait_days,19.48,waiting_time_state_raw,
New South Wales,Male,12-14,2021,ed_on_time_pct,72.5,waiting_time_state_raw,
New South Wales,Male,12-14,2022,avg_wait_days,25.79,waiting_time_state_raw,
New South Wales,Male,12-14,2022,ed_on_time_pct,68.8,waiting_time_state_raw,
New South Wales,Male,12-14,2023,avg_wait_days,22.88,waiting_time_state_raw,
New South Wales,Male,12-14,2023,ed_on_time_pct,74.8,waiting_time_state_raw,
New South Wales,Male,12-14,2024,avg_wait_days,19.63,waiting_time_state_raw,
New South Wales,Male,12-14,2024,ed_on_time_pct,71.3,waiting_time_state_raw,
New South Wales,Male,15-17,2019,avg_wait_days,32.58,waiting_time_state_raw,
New South Wales,Male,15-17,2019,ed_on_time_pct,71.3,waiting_time_state_raw,
New South Wales,Male,15-17,2020,avg_wait_days,28.26,waiting_time_state_raw,
New South Wales,Male,15-17,2020,ed_on_time_pct,75.2,waiting_time_state_raw,
New South Wales,Male,15-17,2021,avg_wait_days,29.89,waiting_time_state_raw,
New South Wales,Male,15-17,2021,ed_on_time_pct,72.6,waiting_time_state_raw,
New South Wales,Male,15-17,2022,avg_wait_days,24.69,waiting_time_state_raw,
New South Wales,Male,15-17,2022,ed_on_time_pct,72.1,waiting_time_state_raw,
New South Wales,Male,15-17,2023,avg_wait_days,26.57,waiting_time_state_raw,
New South Wales,Male,15-17,2023,ed_on_time_pct,71.4,waiting_time_state_raw,
New South Wales,Male,15-17,2024,avg_wait_days,26.5,waiting_time_state_raw,
New South Wales,Male,15-17,2024,ed_on_time_pct,73.4,waiting_time_state_raw,
New South Wales,Male,18-21,2019,avg_wait_days,38.76,waiting_time_state_raw,
