state,sex,age_band,year,metric,value
New South Wales,Male,5-11 (Primary),2019,medication_rate_per_1k,126.55
New South Wales,Male,5-11 (Primary),2020,medication_rate_per_1k,96.0
New South Wales,Male,5-11 (Primary),2021,medication_rate_per_1k,117.6
New South Wales,Male,5-11 (Primary),2022,medication_rate_per_1k,117.77
New South Wales,Male,5-11 (Primary),2023,medication_rate_per_1k,132.95
New South Wales,Male,5-11 (Primary),2024,medication_rate_per_1k,101.8
New South Wales,Male,12-14,2019,medication_rate_per_1k,130.79
New South Wales,Male,12-14,2020,medication_rate_per_1k,158.26
New South Wales,Male,12-14,2021,medication_rate_per_1k,96.25
New South Wales,Male,12-14,2022,medication_rate_per_1k,140.76
New South Wales,Male,12-14,2023,medication_rate_per_1k,117.45
New South Wales,Male,12-14,2024,medication_rate_per_1k,126.06
New South Wales,Male,15-17,2019,medication_rate_per_1k,119.4
New South Wales,Male,15-17,2020,medication_rate_per_1k,131.33
New South Wales,Male,15-17,2021,medication_rate_per_1k,133.71
New South Wales,Male,15-17,2022,medication_rate_per_1k,162.14
New South Wales,Male,15-17,2023,medication_rate_per_1k,159.01
New South Wales,Male,15-17,2024,medication_rate_per_1k,162.84
New South Wales,Male,18-21,2019,medication_rate_per_1k,173.98
New South Wales,Male,18-21,2020,medication_rate_per_1k,133.57
New South Wales,Male,18-21,2021,medication_rate_per_1k,160.8
New South Wales,Male,18-21,2022,medication_rate_per_1k,168.5
New South Wales,Male,18-21,2023,medication_rate_per_1k,114.0
New South Wales,Male,18-21,2024,medication_rate_per_1k,156.95
New South Wales,Male,22-24,2019,medication_rate_per_1k,153.7
New South Wales,Male,22-24,2020,medication_rate_per_1k,125.71
New South Wales,Male,22-24,2021,medication_rate_per_1k,157.73
New South Wales,Male,22-24,2022,medication_rate_per_1k,161.92
New South Wales,Male,22-24,2023,medication_rate_per_1k,159.38
New South Wales,Male,22-24,2024,medication_rate_per_1k,111.45
New South Wales,Female,5-11 (Primary),2019,medication_rate_per_1k,157.61
New South Wales,Female,5-11 (Primary),2020,medication_rate_per_1k,120.34
New South Wales,Female,5-11 (Primary),2021,medication_rate_per_1k,149.63
New South Wales,Female,5-11 (Primary),2022,medication_rate_per_1k,107.53
New South Wales,Female,5-11 (Primary),2023,medication_rate_per_1k,136.64
New South Wales,Female,5-11 (Primary),2024,medication_rate_per_1k,101.27
New South Wales,Female,12-14,2019,medication_rate_per_1k,140.9
New South Wales,Female,12-14,2020,medication_rate_per_1k,147.1
New South Wales,Female,12-14,2021,medication_rate_per_1k,129.28
New South Wales,Female,12-14,2022,medication_rate_per_1k,151.95
New South Wales,Female,12-14,2023,medication_rate_per_1k,135.25
New South Wales,Female,12-14,2024,medication_rate_per_1k,106.61
New South Wales,Female,15-17,2019,medication_rate_per_1k,110.81
New South Wales,Female,15-17,2020,medication_rate_per_1k,111.65
New South Wales,Female,15-17,2021,medication_rate_per_1k,132.44
New South Wales,Female,15-17,2022,medication_rate_per_1k,174.86
New South Wales,Female,15-17,2023,medication_rate_per_1k,131.68
New South Wales,Female,15-17,2024,medication_rate_per_1k,166.69
New South Wales,Female,18-21,2019,medication_rate_per_1k,161.91
New South Wales,Female,18-21,2020,medication_rate_per_1k,166.32
New South Wales,Female,18-21,2021,medication_rate_per_1k,162.76
New South Wales,Female,18-21,2022,medication_rate_per_1k,128.49
New South Wales,Female,18-21,2023,medication_rate_per_1k,179.09
New South Wales,Female,18-21,2024,medication_rate_per_1k,144.82
New South Wales,Female,22-24,2019,medication_rate_per_1k,192.35
New South Wales,Female,22-24,2020,medication_rate_per_1k,119.74
New South Wales,Female,22-24,2021,medication_rate_per_1k,127.59
New South Wales,Female,22-24,2022,medication_rate_per_1k,129.1
New South Wales,Female,22-24,2023,medication_rate_per_1k,175.97
New South Wales,Female,22-24,2024,medication_rate_per_1k,126.96
Victoria,Male,5-11 (Primary),2019,medication_rate_per_1k,115.9
Victoria,Male,5-11 (Primary),2020,medication_rate_per_1k,120.81
Victoria,Male,5-11 (Primary),2021,medication_rate_per_1k,120.84
Victoria,Male,5-11 (Primary),2022,medication_rate_per_1k,107.68
Victoria,Male,5-11 (Primary),2023,medication_rate_per_1k,142.91
Victoria,Male,5-11 (Primary),2024,medication_rate_per_1k,117.15
Victoria,Male,12-14,2019,medication_rate_per_1k,106.39
Victoria,Male,12-14,2020,medication_rate_per_1k,130.66
Victoria,Male,12-14,2021,medication_rate_per_1k,102.4
Victoria,Male,12-14,2022,medication_rate_per_1k,137.76
Victoria,Male,12-14,2023,medication_rate_per_1k,106.26
Victoria,Male,12-14,2024,medication_rate_per_1k,151.79
Victoria,Male,15-17,2019,medication_rate_per_1k,105.75
Victoria,Male,15-17,2020,medication_rate_per_1k,121.26
Victoria,Male,15-17,2021,medication_rate_per_1k,114.96
Victoria,Male,15-17,2022,medication_rate_per_1k,138.67
Victoria,Male,15-17,2023,medication_rate_per_1k,127.65
Victoria,Male,15-17,2024,medication_rate_per_1k,130.8
Victoria,Male,18-21,2019,medication_rate_per_1k,137.32
Victoria,Male,18-21,2020,medication_rate_per_1k,148.89
Victoria,Male,18-21,2021,medication_rate_per_1k,124.22
Victoria,Male,18-21,2022,medication_rate_per_1k,128.45
Victoria,Male,18-21,2023,medication_rate_per_1k,123.96
Victoria,Male,18-21,2024,medication_rate_per_1k,115.97
Victoria,Male,22-24,2019,medication_rate_per_1k,157.19
Victoria,Male,22-24,2020,medication_rate_per_1k,180.12
Victoria,Male,22-24,2021,medication_rate_per_1k,178.22
Victoria,Male,22-24,2022,medication_rate_per_1k,182.41
Victoria,Male,22-24,2023,medication_rate_per_1k,119.15
Victoria,Male,22-24,2024,medication_rate_per_1k,164.02
Victoria,Female,5-11 (Primary),2019,medication_rate_per_1k,102.35
Victoria,Female,5-11 (Primary),2020,medication_rate_per_1k,150.49
Victoria,Female,5-11 (Primary),2021,medication_rate_per_1k,152.37
Victoria,Female,5-11 (Primary),2022,medication_rate_per_1k,128.65
Victoria,Female,5-11 (Primary),2023,medication_rate_per_1k,161.66
Victoria,Female,5-11 (Primary),2024,medication_rate_per_1k,127.63
Victoria,Female,12-14,2019,medication_rate_per_1k,139.82
Victoria,Female,12-14,2020,medication_rate_per_1k,125.92
Victoria,Female,12-14,2021,medication_rate_per_1k,158.82
Victoria,Female,12-14,2022,medication_rate_per_1k,141.37
Victoria,Female,12-14,2023,medication_rate_per_1k,137.04
Victoria,Female,12-14,2024,medication_rate_per_1k,131.85
Victoria,Female,15-17,2019,medication_rate_per_1k,162.24
Victoria,Female,15-17,2020,medication_rate_per_1k,113.2
Victoria,Female,15-17,2021,medication_rate_per_1k,153.53
Victoria,Female,15-17,2022,medication_rate_per_1k,113.26
Victoria,Female,15-17,2023,medication_rate_per_1k,123.63
Victoria,Female,15-17,2024,medication_rate_per_1k,110.38
Victoria,Female,18-21,2019,medication_rate_per_1k,152.47
Victoria,Female,18-21,2020,medication_rate_per_1k,184.49
Victoria,Female,18-21,2021,medication_rate_per_1k,129.33
Victoria,Female,18-21,2022,medication_rate_per_1k,121.77
Victoria,Female,18-21,2023,medication_rate_per_1k,153.0
Victoria,Female,18-21,2024,medication_rate_per_1k,114.83
Victoria,Female,22-24,2019,medication_rate_per_1k,146.2
Victoria,Female,22-24,2020,medication_rate_per_1k,153.68
Victoria,Female,22-24,2021,medication_rate_per_1k,124.62
Victoria,Female,22-24,2022,medication_rate_per_1k,188.57
Victoria,Female,22-24,2023,medication_rate_per_1k,148.83
Victoria,Female,22-24,2024,medication_rate_per_1k,164.89
Queensland,Male,5-11 (Primary),2019,medication_rate_per_1k,96.76
Queensland,Male,5-11 (Primary),2020,medication_rate_per_1k,148.1
Queensland,Male,5-11 (Primary),2021,medication_rate_per_1k,100.91
Queensland,Male,5-11 (Primary),2022,medication_rate_per_1k,117.97
Queensland,Male,5-11 (Primary),2023,medication_rate_per_1k,95.3
Queensland,Male,5-11 (Primary),2024,medication_rate_per_1k,99.43
Queensland,Male,12-14,2019,medication_rate_per_1k,103.87
Queensland,Male,12-14,2020,medication_rate_per_1k,119.74
Queensland,Male,12-14,2021,medication_rate_per_1k,100.83
Queensland,Male,12-14,2022,medication_rate_per_1k,124.89
Queensland,Male,12-14,2023,medication_rate_per_1k,131.14
Queensland,Male,12-14,2024,medication_rate_per_1k,107.36
Queensland,Male,15-17,2019,medication_rate_per_1k,151.93
Queensland,Male,15-17,2020,medication_rate_per_1k,105.6
Queensland,Male,15-17,2021,medication_rate_per_1k,139.02
Queensland,Male,15-17,2022,medication_rate_per_1k,154.77
Queensland,Male,15-17,2023,medication_rate_per_1k,141.64
Queensland,Male,15-17,2024,medication_rate_per_1k,100.8
Queensland,Male,18-21,2019,medication_rate_per_1k,111.03
Queensland,Male,18-21,2020,medication_rate_per_1k,108.99
Queensland,Male,18-21,2021,medication_rate_per_1k,114.85
Queensland,Male,18-21,2022,medication_rate_per_1k,142.85
Queensland,Male,18-21,2023,medication_rate_per_1k,173.38
Queensland,Male,18-21,2024,medication_rate_per_1k,131.75
Queensland,Male,22-24,2019,medication_rate_per_1k,169.35
Queensland,Male,22-24,2020,medication_rate_per_1k,131.0
Queensland,Male,22-24,2021,medication_rate_per_1k,182.98
Queensland,Male,22-24,2022,medication_rate_per_1k,139.32
Queensland,Male,22-24,2023,medication_rate_per_1k,125.44
Queensland,Male,22-24,2024,medication_rate_per_1k,125.16
Queensland,Female,5-11 (Primary),2019,medication_rate_per_1k,104.93
Queensland,Female,5-11 (Primary),2020,medication_rate_per_1k,102.79
Queensland,Female,5-11 (Primary),2021,medication_rate_per_1k,157.73
Queensland,Female,5-11 (Primary),2022,medication_rate_per_1k,144.51
Queensland,Female,5-11 (Primary),2023,medication_rate_per_1k,106.96
Queensland,Female,5-11 (Primary),2024,medication_rate_per_1k,136.64
Queensland,Female,12-14,2019,medication_rate_per_1k,134.53
Queensland,Female,12-14,2020,medication_rate_per_1k,107.69
Queensland,Female,12-14,2021,medication_rate_per_1k,170.41
Queensland,Female,12-14,2022,medication_rate_per_1k,118.96
Queensland,Female,12-14,2023,medication_rate_per_1k,142.02
Queensland,Female,12-14,2024,medication_rate_per_1k,127.44
Queensland,Female,15-17,2019,medication_rate_per_1k,143.11
Queensland,Female,15-17,2020,medication_rate_per_1k,179.34
Queensland,Female,15-17,2021,medication_rate_per_1k,163.1
Queensland,Female,15-17,2022,medication_rate_per_1k,125.16
Queensland,Female,15-17,2023,medication_rate_per_1k,158.68
Queensland,Female,15-17,2024,medication_rate_per_1k,141.45
Queensland,Female,18-21,2019,medication_rate_per_1k,131.24
Queensland,Female,18-21,2020,medication_rate_per_1k,155.4
Queensland,Female,18-21,2021,medication_rate_per_1k,130.9
Queensland,Female,18-21,2022,medication_rate_per_1k,174.55
Queensland,Female,18-21,2023,medication_rate_per_1k,135.48
Queensland,Female,18-21,2024,medication_rate_per_1k,120.69
Queensland,Female,22-24,2019,medication_rate_per_1k,186.67
Queensland,Female,22-24,2020,medication_rate_per_1k,131.88
Queensland,Female,22-24,2021,medication_rate_per_1k,174.46
Queensland,Female,22-24,2022,medication_rate_per_1k,187.13
