state,sex,age_band,year,metric,value
New South Wales,Male,5-11 (Primary),2019,k10_mean,21.28
New South Wales,Male,5-11 (Primary),2020,k10_mean,20.44
New South Wales,Male,5-11 (Primary),2021,k10_mean,19.98
New South Wales,Male,5-11 (Primary),2022,k10_mean,17.73
New South Wales,Male,5-11 (Primary),2023,k10_mean,17.56
New South Wales,Male,5-11 (Primary),2024,k10_mean,16.96
New South Wales,Male,12-14,2019,k10_mean,19.57
New South Wales,Male,12-14,2020,k10_mean,21.14
New South Wales,Male,12-14,2021,k10_mean,20.68
New South Wales,Male,12-14,2022,k10_mean,22.28
New South Wales,Male,12-14,2023,k10_mean,20.0
New South Wales,Male,12-14,2024,k10_mean,21.61
New South Wales,Male,15-17,2019,k10_mean,23.2
New South Wales,Male,15-17,2020,k10_mean,22.39
New South Wales,Male,15-17,2021,k10_mean,25.59
New South Wales,Male,15-17,2022,k10_mean,22.81
New South Wales,Male,15-17,2023,k10_mean,24.11
New South Wales,Male,15-17,2024,k10_mean,22.57
New South Wales,Male,18-21,2019,k10_mean,26.41
New South Wales,Male,18-21,2020,k10_mean,23.51
New South Wales,Male,18-21,2021,k10_mean,22.82
New South Wales,Male,18-21,2022,k10_mean,26.28
New South Wales,Male,18-21,2023,k10_mean,25.47
New South Wales,Male,18-21,2024,k10_mean,26.42
New South Wales,Male,22-24,2019,k10_mean,22.02
New South Wales,Male,22-24,2020,k10_mean,26.13
New South Wales,Male,22-24,2021,k10_mean,21.84
New South Wales,Male,22-24,2022,k10_mean,27.18
New South Wales,Male,22-24,2023,k10_mean,27.08
New South Wales,Male,22-24,2024,k10_mean,26.27
New South Wales,Female,5-11 (Primary),2019,k10_mean,19.1
New South Wales,Female,5-11 (Primary),2020,k10_mean,20.7
New South Wales,Female,5-11 (Primary),2021,k10_mean,22.36
New South Wales,Female,5-11 (Primary),2022,k10_mean,21.04
New South Wales,Female,5-11 (Primary),2023,k10_mean,20.77
New South Wales,Female,5-11 (Primary),2024,k10_mean,17.74
New South Wales,Female,12-14,2019,k10_mean,19.55
New South Wales,Female,12-14,2020,k10_mean,22.68
New South Wales,Female,12-14,2021,k10_mean,21.82
New South Wales,Female,12-14,2022,k10_mean,21.95
New South Wales,Female,12-14,2023,k10_mean,20.37
New South Wales,Female,12-14,2024,k10_mean,20.97
New South Wales,Female,15-17,2019,k10_mean,27.34
New South Wales,Female,15-17,2020,k10_mean,24.19
New South Wales,Female,15-17,2021,k10_mean,27.83
New South Wales,Female,15-17,2022,k10_mean,23.0
New South Wales,Female,15-17,2023,k10_mean,25.19
New South Wales,Female,15-17,2024,k10_mean,25.83
New South Wales,Female,18-21,2019,k10_mean,27.68
New South Wales,Female,18-21,2020,k10_mean,28.44
New South Wales,Female,18-21,2021,k10_mean,28.13
New South Wales,Female,18-21,2022,k10_mean,28.52
New South Wales,Female,18-21,2023,k10_mean,23.7
New South Wales,Female,18-21,2024,k10_mean,23.83
New South Wales,Female,22-24,2019,k10_mean,23.25
New South Wales,Female,22-24,2020,k10_mean,23.65
New South Wales,Female,22-24,2021,k10_mean,26.84
New South Wales,Female,22-24,2022,k10_mean,25.73
New South Wales,Female,22-24,2023,k10_mean,26.77
New South Wales,Female,22-24,2024,k10_mean,26.11
Victoria,Male,5-11 (Primary),2019,k10_mean,19.27
Victoria,Male,5-11 (Primary),2020,k10_mean,17.57
Victoria,Male,5-11 (Primary),2021,k10_mean,20.64
Victoria,Male,5-11 (Primary),2022,k10_mean,20.24
Victoria,Male,5-11 (Primary),2023,k10_mean,20.17
Victoria,Male,5-11 (Primary),2024,k10_mean,20.97
Victoria,Male,12-14,2019,k10_mean,20.47
Victoria,Male,12-14,2020,k10_mean,20.61
Victoria,Male,12-14,2021,k10_mean,20.85
Victoria,Male,12-14,2022,k10_mean,20.24
Victoria,Male,12-14,2023,k10_mean,21.06
Victoria,Male,12-14,2024,k10_mean,21.64
Victoria,Male,15-17,2019,k10_mean,24.5
Victoria,Male,15-17,2020,k10_mean,22.14
Victoria,Male,15-17,2021,k10_mean,25.3
Victoria,Male,15-17,2022,k10_mean,21.53
Victoria,Male,15-17,2023,k10_mean,22.31
Victoria,Male,15-17,2024,k10_mean,23.4
Victoria,Male,18-21,2019,k10_mean,27.5
Victoria,Male,18-21,2020,k10_mean,23.98
Victoria,Male,18-21,2021,k10_mean,27.5
Victoria,Male,18-21,2022,k10_mean,25.99
Victoria,Male,18-21,2023,k10_mean,26.72
Victoria,Male,18-21,2024,k10_mean,24.25
Victoria,Male,22-24,2019,k10_mean,27.27
Victoria,Male,22-24,2020,k10_mean,25.39
Victoria,Male,22-24,2021,k10_mean,22.03
Victoria,Male,22-24,2022,k10_mean,26.3
Victoria,Male,22-24,2023,k10_mean,24.31
Victoria,Male,22-24,2024,k10_mean,26.47
Victoria,Female,5-11 (Primary),2019,k10_mean,20.96
Victoria,Female,5-11 (Primary),2020,k10_mean,22.24
Victoria,Female,5-11 (Primary),2021,k10_mean,21.96
Victoria,Female,5-11 (Primary),2022,k10_mean,20.8
Victoria,Female,5-11 (Primary),2023,k10_mean,21.27
Victoria,Female,5-11 (Primary),2024,k10_mean,17.89
Victoria,Female,12-14,2019,k10_mean,23.56
Victoria,Female,12-14,2020,k10_mean,23.24
Victoria,Female,12-14,2021,k10_mean,24.34
Victoria,Female,12-14,2022,k10_mean,23.35
Victoria,Female,12-14,2023,k10_mean,22.62
Victoria,Female,12-14,2024,k10_mean,23.47
Victoria,Female,15-17,2019,k10_mean,25.61
Victoria,Female,15-17,2020,k10_mean,24.9
Victoria,Female,15-17,2021,k10_mean,27.88
Victoria,Female,15-17,2022,k10_mean,24.97
Victoria,Female,15-17,2023,k10_mean,22.61
Victoria,Female,15-17,2024,k10_mean,22.27
Victoria,Female,18-21,2019,k10_mean,25.67
Victoria,Female,18-21,2020,k10_mean,26.22
Victoria,Female,18-21,2021,k10_mean,26.86
Victoria,Female,18-21,2022,k10_mean,23.76
Victoria,Female,18-21,2023,k10_mean,26.82
Victoria,Female,18-21,2024,k10_mean,29.42
Victoria,Female,22-24,2019,k10_mean,27.04
Victoria,Female,22-24,2020,k10_mean,26.74
Victoria,Female,22-24,2021,k10_mean,25.59
Victoria,Female,22-24,2022,k10_mean,27.85
Victoria,Female,22-24,2023,k10_mean,23.0
Victoria,Female,22-24,2024,k10_mean,27.2
Queensland,Male,5-11 (Primary),2019,k10_mean,19.97
Queensland,Male,5-11 (Primary),2020,k10_mean,18.45
Queensland,Male,5-11 (Primary),2021,k10_mean,18.96
Queensland,Male,5-11 (Primary),2022,k10_mean,17.41
Queensland,Male,5-11 (Primary),2023,k10_mean,16.75
Queensland,Male,5-11 (Primary),2024,k10_mean,18.25
Queensland,Male,12-14,2019,k10_mean,20.18
Queensland,Male,12-14,2020,k10_mean,21.1
Queensland,Male,12-14,2021,k10_mean,20.22
Queensland,Male,12-14,2022,k10_mean,22.96
Queensland,Male,12-14,2023,k10_mean,19.21
Queensland,Male,12-14,2024,k10_mean,22.63
Queensland,Male,15-17,2019,k10_mean,24.26
Queensland,Male,15-17,2020,k10_mean,22.39
Queensland,Male,15-17,2021,k10_mean,26.17
Queensland,Male,15-17,2022,k10_mean,24.31
Queensland,Male,15-17,2023,k10_mean,21.68
Queensland,Male,15-17,2024,k10_mean,26.11
Queensland,Male,18-21,2019,k10_mean,24.11
Queensland,Male,18-21,2020,k10_mean,25.94
Queensland,Male,18-21,2021,k10_mean,26.59
Queensland,Male,18-21,2022,k10_mean,26.99
Queensland,Male,18-21,2023,k10_mean,26.83
Queensland,Male,18-21,2024,k10_mean,27.53
Queensland,Male,22-24,2019,k10_mean,26.09
Queensland,Male,22-24,2020,k10_mean,22.67
Queensland,Male,22-24,2021,k10_mean,24.84
Queensland,Male,22-24,2022,k10_mean,24.46
Queensland,Male,22-24,2023,k10_mean,22.34
Queensland,Male,22-24,2024,k10_mean,24.11
