state,sex,age_band,year,metric,value
New South Wales,Male,5-11 (Primary),2019,avg_wait_days,14.95
New South Wales,Male,5-11 (Primary),2019,ed_on_time_pct,76.1
New South Wales,Male,5-11 (Primary),2020,avg_wait_days,17.56
New South Wales,Male,5-11 (Primary),2020,ed_on_time_pct,75.0
New South Wales,Male,5-11 (Primary),2021,avg_wait_days,21.44
New South Wales,Male,5-11 (Primary),2021,ed_on_time_pct,73.1
New South Wales,Male,5-11 (Primary),2022,avg_wait_days,18.01
New South Wales,Male,5-11 (Primary),2022,ed_on_time_pct,69.1
New South Wales,Male,5-11 (Primary),2023,avg_wait_days,16.33
New South Wales,Male,5-11 (Primary),2023,ed_on_time_pct,71.6
New South Wales,Male,5-11 (Primary),2024,avg_wait_days,19.29
New South Wales,Male,5-11 (Primary),2024,ed_on_time_pct,73.2
New South Wales,Male,12-14,2019,avg_wait_days,20.95
New South Wales,Male,12-14,2019,ed_on_time_pct,70.8
New South Wales,Male,12-14,2020,avg_wait_days,20.14
New South Wales,Male,12-14,2020,ed_on_time_pct,76.4
New South Wales,Male,12-14,2021,avg_wait_days,19.48
New South Wales,Male,12-14,2021,ed_on_time_pct,72.5
New South Wales,Male,12-14,2022,avg_wait_days,25.79
New South Wales,Male,12-14,2022,ed_on_time_pct,68.8
New South Wales,Male,12-14,2023,avg_wait_days,22.88
New South Wales,Male,12-14,2023,ed_on_time_pct,74.8
New South Wales,Male,12-14,2024,avg_wait_days,19.63
New South Wales,Male,12-14,2024,ed_on_time_pct,71.3
New South Wales,Male,15-17,2019,avg_wait_days,32.58
New South Wales,Male,15-17,2019,ed_on_time_pct,71.3
New South Wales,Male,15-17,2020,avg_wait_days,28.26
New South Wales,Male,15-17,2020,ed_on_time_pct,75.2
New South Wales,Male,15-17,2021,avg_wait_days,29.89
New South Wales,Male,15-17,2021,ed_on_time_pct,72.6
New South Wales,Male,15-17,2022,avg_wait_days,24.69
New South Wales,Male,15-17,2022,ed_on_time_pct,72.1
New South Wales,Male,15-17,2023,avg_wait_days,26.57
New South Wales,Male,15-17,2023,ed_on_time_pct,71.4
New South Wales,Male,15-17,2024,avg_wait_days,26.5
New South Wales,Male,15-17,2024,ed_on_time_pct,73.4
New South Wales,Male,18-21,2019,avg_wait_days,38.76
New South Wales,Male,18-21,2019,ed_on_time_pct,72.6
New South Wales,Male,18-21,2020,avg_wait_days,36.02
New South Wales,Male,18-21,2020,ed_on_time_pct,71.8
New South Wales,Male,18-21,2021,avg_wait_days,34.34
New South Wales,Male,18-21,2021,ed_on_time_pct,71.7
New South Wales,Male,18-21,2022,avg_wait_days,37.2
New South Wales,Male,18-21,2022,ed_on_time_pct,71.3
New South Wales,Male,18-21,2023,avg_wait_days,34.43
New South Wales,Male,18-21,2023,ed_on_time_pct,73.2
New South Wales,Male,18-21,2024,avg_wait_days,33.78
New South Wales,Male,18-21,2024,ed_on_time_pct,73.9
New South Wales,Male,22-24,2019,avg_wait_days,27.91
New South Wales,Male,22-24,2019,ed_on_time_pct,75.8
New South Wales,Male,22-24,2020,avg_wait_days,31.01
New South Wales,Male,22-24,2020,ed_on_time_pct,72.9
New South Wales,Male,22-24,2021,avg_wait_days,33.72
New South Wales,Male,22-24,2021,ed_on_time_pct,73.0
New South Wales,Male,22-24,2022,avg_wait_days,30.91
New South Wales,Male,22-24,2022,ed_on_time_pct,68.6
New South Wales,Male,22-24,2023,avg_wait_days,26.78
New South Wales,Male,22-24,2023,ed_on_time_pct,73.1
New South Wales,Male,22-24,2024,avg_wait_days,32.31
New South Wales,Male,22-24,2024,ed_on_time_pct,72.4
New South Wales,Female,5-11 (Primary),2019,avg_wait_days,20.85
New South Wales,Female,5-11 (Primary),2019,ed_on_time_pct,75.3
New South Wales,Female,5-11 (Primary),2020,avg_wait_days,14.49
New South Wales,Female,5-11 (Primary),2020,ed_on_time_pct,72.0
New South Wales,Female,5-11 (Primary),2021,avg_wait_days,18.29
New South Wales,Female,5-11 (Primary),2021,ed_on_time_pct,70.9
New South Wales,Female,5-11 (Primary),2022,avg_wait_days,20.92
New South Wales,Female,5-11 (Primary),2022,ed_on_time_pct,75.4
New South Wales,Female,5-11 (Primary),2023,avg_wait_days,20.1
New South Wales,Female,5-11 (Primary),2023,ed_on_time_pct,71.4
New South Wales,Female,5-11 (Primary),2024,avg_wait_days,20.05
New South Wales,Female,5-11 (Primary),2024,ed_on_time_pct,68.4
New South Wales,Female,12-14,2019,avg_wait_days,19.91
New South Wales,Female,12-14,2019,ed_on_time_pct,73.7
New South Wales,Female,12-14,2020,avg_wait_days,23.65
New South Wales,Female,12-14,2020,ed_on_time_pct,73.3
New South Wales,Female,12-14,2021,avg_wait_days,18.43
New South Wales,Female,12-14,2021,ed_on_time_pct,71.7
New South Wales,Female,12-14,2022,avg_wait_days,20.05
New South Wales,Female,12-14,2022,ed_on_time_pct,70.8
New South Wales,Female,12-14,2023,avg_wait_days,18.68
New South Wales,Female,12-14,2023,ed_on_time_pct,71.0
New South Wales,Female,12-14,2024,avg_wait_days,21.11
New South Wales,Female,12-14,2024,ed_on_time_pct,73.0
New South Wales,Female,15-17,2019,avg_wait_days,30.69
New South Wales,Female,15-17,2019,ed_on_time_pct,74.2
New South Wales,Female,15-17,2020,avg_wait_days,27.01
New South Wales,Female,15-17,2020,ed_on_time_pct,75.4
New South Wales,Female,15-17,2021,avg_wait_days,31.69
New South Wales,Female,15-17,2021,ed_on_time_pct,74.1
New South Wales,Female,15-17,2022,avg_wait_days,30.74
New South Wales,Female,15-17,2022,ed_on_time_pct,75.4
New South Wales,Female,15-17,2023,avg_wait_days,22.4
New South Wales,Female,15-17,2023,ed_on_time_pct,74.3
New South Wales,Female,15-17,2024,avg_wait_days,24.99
New South Wales,Female,15-17,2024,ed_on_time_pct,70.8
New South Wales,Female,18-21,2019,avg_wait_days,38.37
New South Wales,Female,18-21,2019,ed_on_time_pct,75.6
New South Wales,Female,18-21,2020,avg_wait_days,29.46
New South Wales,Female,18-21,2020,ed_on_time_pct,74.6
New South Wales,Female,18-21,2021,avg_wait_days,28.39
New South Wales,Female,18-21,2021,ed_on_time_pct,71.8
New South Wales,Female,18-21,2022,avg_wait_days,38.59
New South Wales,Female,18-21,2022,ed_on_time_pct,71.7
New South Wales,Female,18-21,2023,avg_wait_days,35.67
New South Wales,Female,18-21,2023,ed_on_time_pct,73.2
New South Wales,Female,18-21,2024,avg_wait_days,38.71
New South Wales,Female,18-21,2024,ed_on_time_pct,72.8
New South Wales,Female,22-24,2019,avg_wait_days,25.18
New South Wales,Female,22-24,2019,ed_on_time_pct,73.4
New South Wales,Female,22-24,2020,avg_wait_days,30.9
New South Wales,Female,22-24,2020,ed_on_time_pct,70.1
New South Wales,Female,22-24,2021,avg_wait_days,31.88
New South Wales,Female,22-24,2021,ed_on_time_pct,73.6
New South Wales,Female,22-24,2022,avg_wait_days,35.48
New South Wales,Female,22-24,2022,ed_on_time_pct,75.4
New South Wales,Female,22-24,2023,avg_wait_days,26.7
New South Wales,Female,22-24,2023,ed_on_time_pct,69.7
New South Wales,Female,22-24,2024,avg_wait_days,33.36
New South Wales,Female,22-24,2024,ed_on_time_pct,68.4
Victoria,Male,5-11 (Primary),2019,avg_wait_days,16.49
Victoria,Male,5-11 (Primary),2019,ed_on_time_pct,74.5
Victoria,Male,5-11 (Primary),2020,avg_wait_days,16.09
Victoria,Male,5-11 (Primary),2020,ed_on_time_pct,75.5
Victoria,Male,5-11 (Primary),2021,avg_wait_days,21.19
